spec,allowable_load_kg
185R14<C>-8PR(S),850
185R14C,0
185R14C-6PR(S),775
185R14C(D),800
185R14C8PR,800
185R14C8PR,850
185R14LT102,850
18R14-6PR(S),775
19.5R15-8PR(S),950
195-14-8PR(S),950
195-R14-8P(S),950
195/15-12PR(S),1110
195/45R16,450
195/50R15,475
195/50ZR15,530
195/65R15(D),580
195/65R15(S),580
195/70P15C-6PR(S),800
195/70R14(S),615
195/70R15-6PR(S),800
195/70R15-8PR(S),950
195/70R15C-10PR(D),850
195/70R15C-10PR(S),900
195/70R15C-6P(S),800
195/70R15C-6PR(D),750
195/70R15C-6PR(S),800
195/70R15C-6PR(S),950
195/70R15C-8PR,900
195/70R15C-8PR(D),850
195/70R15C6PR(S),800
195/75R15C-8PR,900
195/75R16,900
195/75R16-10PR(D),965
195/75R16-10PR(D),975
195/75R16-10PR(D),1000
195/75R16-10PR(D),1060
195/75R16(D),975
195/75R16(S),1060
195/75R16C,1060
195/75R16C,965
195/75R16C-10PR(D),965
195/75R16C-10PR(D),1000
195/75R16c-12,1600
195/75R16C-12PR,1090
195/75R16C-8PR(D),925
195/75R16C(D),1090
195/75R16C(D),965
195/75R16C(S),1150
195/80R15C,1000
195/80R15LT-14PR(D),1150
195/80R15LT14,1150
195/85R16,1180
195/85R16-12PR(D),1120
195/85R16LT,1180
195/85R16LT-10PR,1180
195/85R16LT-10PR,880
195/85R16LT-12,1180
195/85R16LT-12PR,1180
195/85R16LT12PR,1180
195/R14C-6PR(S),850
195/R15-8PR(S),950
195R-12PR(D),1050
195R-14C-6PR(S),850
195R-15LT-12PR(S),1100
195R/14-6PR(S),850
195R/4C-8PR(S),950
195R14-6PR(S),705
195R14-6PR(S),850
195R14-6PRLT(D),800
195R14-6PRLT(S),850
195R14-8PR(D),950
195R14-8PR(S),850
195R14-8PR(S),870
195R14-8PR(S),900
195R14-8PR(S),935
195R14-8PR(S),949
195R14-8PR(S),950
195R14-8PRLT(D),900
195R14-8PRLT(S),950
195R14(C)-6PR,850
195R14<C>-6PR(S),850
195R14<C>-8PR(S),935
195R14<C>-8PR(S),950
195R14C-6PR(S),850
195R14C-6PR(S),920
195R14C-8PR(S),950
195R14C8PR(D),800
195R15,760
195R15-10PR(D),975
195R15-12(D),1050
195R15-12(D),1285
195R15-12PR(D),1050
195R15-12PR(D),1060
195R15-12PR(D),1250
195R15-12PR(D),1285
195R15-12PR(S),1090
195R15-6PR(S),875
195R15-8PR(D),950
195R15-8PR(S),900
195R15-8PR(S),950
195R15-8PR(S),1000
195R15-8PT(S),950
195R15C-8PR,900
195R15C-8PR(D),950
195R15C-8PR(D),905
195R15C-8PR(S),950
195R15LT-12PR(D),1050
195R15LT-12PR(D),1090
195R15LT-12PR(S),1150
195R15LT-8,950
195R15LT-8,900
195R15LT-8PR,950
195R16-10PR(D),965
19R14-8PR(S),950
19R15C-8,900
1OR22.5-14PR(S),2575
201/75R17.5-10PR(D),1600
205-15R16C-10,1150
205/40R17,500
205/40R18,530
205/45ZR 16,540
205/65R15,670
205/70R 16,1250
205/70R 16,1180
205/70R15-6PR,875
205/70R15-8PR(S),950
205/70R15(S),775
205/70R15(S),950
205/70R15C-69PR(S),875
205/70R15C-6PR(S),875
205/70R15C-6PR(S),900
205/70R15C-8PR(S),900
205/70R15C-8PR(S),950
205/70R15C(D),950
205/70R15C(S),950
205/70R17.5-10PR(D),1500
205/70R17.5.12PR,1600
205/70R19C-8PR(D),950
205/7517.5-10OPR(D),1120
205/75R 17.5,1700
205/75R14-8PR(S),1030
205/75R14(S),1030
205/75R14C-8PR(S),900
205/75R14C-8PR(S),1030
205/75R16C,980
205/75R16c-10pr,1150
205/75R16C-10PR(D),2400
205/75R16C-10PR(S),2535
205/75R16C8PR,1060
205/75R16LT,1180
205/75R16LT,1250
205/75R16LT (D),1180
205/75R16LT-12PR(D),1180
205/75R16LT-12PR(S),1250
205/75R17.5,1550
205/75R17.5-10PR(D),1400
205/75R17.5-10PR(D),1500
205/75R17.5-10PR(D),1600
205/75R17.5-10PR(D),1250
205/75R17.5-10PR(S),1500
205/75R17.5-10PR(S),1600
205/75R17.5-12PR(D),1450
205/75R17.5-12PR(D),1451
205/75R17.5-12PR(D),1500
205/75R17.5-12PR(S),1510
205/75R17.5-12PR(S),1551
205/75R17.5-12PR(S),1600
205/75R17.5-14PR,1600
205/75R17.5-16PR,1550
205/75R17.5( S),1600
205/75R17.5(D),1500
205/75R17.5(D),1550
205/75R17.5(S),1600
205/75R17.5(S),1650
205/75R17.512PR(D),1400
205/75R17.512PR(S),1450
205/75R17.514PR,1500
205/75R17.516PR,1600
205/75R17.516PR,1700
205/75R175(D)-10PR,1250
205/75R175(S)-10PR,1285
205/80R17.5,1400
205/85R16 12PR,1285
205R-14-8PR(S),1030
205R-14C-8PR(S),1030
205R14-8PR(S),1030
215/40R17,540
215/45R17,615
215/50R17,690
215/50ZR18(S),630
215/60R16,690
215/65R15C-6PR,900
215/65R16,750
215/65R17,900
215/65R17C,1120
215/70R149.5-18,2500
215/70R15(S),1030
215/70R15C-8PR(D),975
215/70R15C8PR,1030
215/70R16,1000
215/70R16-6PR(D),1000
215/70R16-6PR(S),1000
215/70R16(S),1000
215/70R16C,1000
215/70R16C-6PR(D),1000
215/70R16C-6PR(S),1000
215/70R16C(S),1000
215/70R17.5,1550
215/70R17.5-18,2750
215/70R19.5-18,2750
215/70R19.5-18,2575
215/70R19.5-18PR,2750
215/75R 17.5,1500
215/75R15,800
215/75R15,730
215/75R15-8PR(D),875
215/75R15-8PR(S),950
215/75R15C,950
215/75R16C,1250
215/75R16LT12PR,1285
215/75R17.5-12PR(D),1600
215/75R17.5-12PR(S),1700
215/75R17.5-14PR,1800
215/75R17.5-14PR(D),1600
215/75R17.5-14PR(D),1700
215/75R17.5-14PR(S),1700
215/75R17.5-16PR,2180
215/75R17.5-16PR(D),2060
215/75R17.5-16PR(D),2719
215/75R17.5-16PR(S),2180
215/75R17.5-16PR(S),1750
215/75R17.5-18PR(D),2120
215/75R17.5-18PR(S),2240
215/75R17.5(D),1600
215/75R17.5(D),2060
215/75R17.5(D)-16PR,2060
215/75R17.5(S),1700
215/75R17.512PR(D),1550
215/75R17.512PR(S),1600
215/75R17.514PR(D),2060
215/75R17.514PR(S),2180
215/75R17.516PR,2180
215/75R17.516PR(S),1800
215/75R17.518PR,2120
215/75R17.518PR,2060
215/80R15,850
215/80R22.5-18PR(S),3750
222.75R/17.5-14,1850
225/35/18R,545
225/35ZR18,545
225/35ZR19,560
225/40ZR 19,650
225/40ZR18,560
225/40ZR20(S),670
225/45R17,520
225/45R18,615
225/45ZR17,670
225/50R17,670
225/55R17,730
225/55R17,825
225/55R18,750
225/60R17,875
225/60R17,775
225/60R18,800
225/65R16,900
225/65R16C-8PR(D),1060
225/65R16C-8PR(S),1120
225/70R-16,875
225/70R15C,1120
225/70R17.5-14PR(S),1950
225/70R17.5(D),1750
225/75R16,900
225/75R16-12PR(S),1800
225/75R16(S),900
225/75R17.5,1950
225/75R17.5,1850
225/75R17.5-12PR(D),1750
225/75R17.5-12PR(S),1700
225/75R17.5-12PR(S),1800
225/75R17.5-12PR(S),1850
225/75R17.5-14PR,1750
225/75R17.5-14PR(D),1850
225/75R17.5-14PR(S),1850
225/75R17.5-14PR(S),1950
225/75R17.5-16PR(D),1750
225/75R17.5(D),1750
225/75R17.512PR,1650
225/75R17.512PR(D),1650
225/75R17.512PR(S),1700
225/75R17.516PR(S),1850
225/80R17.5,1500
225/80R17.5,1550
225/90R17.5,1600
235/35R20,630
235/35ZR20,630
235/40R18,690
235/45R18,750
235/50R18,900
235/50R19,875
235/55R 18,800
235/55R17,775
235/55R17,800
235/55R18,850
235/55R18,900
235/55R19,925
235/55R19,825
235/60R17,850
235/60R17(S),850
235/60R18,900
235/65R16,1215
235/65R16C-8PR,1215
235/65R17,1000
235/65R17(S),900
235/70R17.5-16PR(D),2575
235/70R17.5-18PR,2725
235/70R17.5-18PR(D),2575
235/75R-16PR(D),2575
235/75R-17.5-16PR(D),2570
235/75R-17.5-16PR(D),2575
235/75R-17.5-16PR(S),2575
235/75R-17.5-18PR(D),2575
235/75R15(D),825
235/75R15(S),900
235/75R16,850
235/75R17.5-14PR(S),1900
235/75R17.5-16(D),2575
235/75R17.5-16PR,2000
235/75R17.5-16PR(D),2575
235/75R17.5-16PR(D),2583
235/75R17.5-16PR(D),2725
235/75R17.5-16PR(S),2720
235/75R17.5-16PR(S),2723
235/75R17.5-18PR(D),2575
235/75R17.5-18PR(D),2650
235/75R17.5-18PR(D),2725
235/75R17.5-18PR(D),2900
235/75R17.5-18PR(S),2900
235/75R17.5(D),2575
235/75R17.5(D),8790
235/75R17.5(S),2725
235/75R17.512PR(D),1800
235/75R17.512PR(S),1900
235/75R17.514PR(D),1900
235/75R17.516PR(D),2575
235/75R17.516PR(D),1900
235/75R17.516PR(D),2000
235/75R17.516PR(S),2575
235/75R17.518PR(D),2575
235/75R17.518PR(S),2725
235/80R22.5-18PR(D),3550
235R17.5-18PR(D),2575
2445/70R19.5-14PR(D),2120
245-70R17.5-14PR(D),1985
245-70R19.5-14P(D),1984
245-70R19.5-14P(S),2062
245*70R19.5-14PR(D),2120
245/35R19,650
245/35R21,1000
245/35R21,710
245/35R21,720
245/35ZR19,650
245/35ZR20,690
245/40R 19,670
245/40R-18PR,730
245/40R18,730
245/40R19.5-14PR(S),2240
245/40ZR/18,670
245/40ZR/18,730
245/40ZR17,690
245/40ZR20,775
245/45/R17,775
245/45R18,750
245/45R20,875
245/45ZR19,850
245/50R18,800
245/50R20,850
245/60R18,900
245/65R17,1090
245/70PR19.5-16PR(D),2200
245/70PR19.5-18PR(D),2650
245/70R-14PR(S),1995
245/70R-14PR(S),2060
245/70R-19.5-14PR(D),2120
245/70R-19.5-14PR(S),2060
245/70R-19.5-18PR(S),2750
245/70R-19.5-19PR(D),2650
245/70R×19.5-14PR(S),2060
245/70R16,975
245/70R16.5-14PR(D),2120
245/70R17.5-18PR(D),2575
245/70R19.5,2750
245/70R19.5--16PR(D),2120
245/70R19.5-14(S),2240
245/70R19.5-14P(D),2120
245/70R19.5-14PR(D),1860
245/70R19.5-14PR(D),1950
245/70R19.5-14PR(D),1980
245/70R19.5-14PR(D),1984
245/70R19.5-14PR(D),1985
245/70R19.5-14PR(D),2060
245/70R19.5-14PR(D),2102
245/70R19.5-14PR(D),2120
245/70R19.5-14PR(D),2180
245/70R19.5-14PR(D),2200
245/70R19.5-14PR(D),2210
245/70R19.5-14PR(D),2240
245/70R19.5-14PR(D),2575
245/70R19.5-14PR(D),3000
245/70R19.5-14PR(D),2360
245/70R19.5-14PR(D),3350
245/70R19.5-14PR(D),2650
245/70R19.5-14PR(D),2725
245/70R19.5-14PR(D)),1985
245/70R19.5-14PR(S),1225
245/70R19.5-14PR(S),1985
245/70R19.5-14PR(S),2060
245/70R19.5-14PR(S),2061
245/70R19.5-14PR(S),2062
245/70R19.5-14PR(S),2063
245/70R19.5-14PR(S),2120
245/70R19.5-14PR(S),2180
245/70R19.5-14PR(S),2200
245/70R19.5-14PR(S),2240
245/70R19.5-14PR(S),2300
245/70R19.5-14PR(S),2400
245/70R19.5-14PR(S),2500
245/70R19.5-14PR(S),2575
245/70R19.5-14PR(S),2725
245/70R19.5-14PR(S),2730
245/70R19.5-14PR(S),2885
245/70R19.5-14PR(S),2750
245/70R19.5-14PRR(D),1985
245/70R19.5-14PS(D),1985
245/70R19.5-14PS(S),2060
245/70R19.5-14R(D),1985
245/70R19.5-14R(D),2120
245/70R19.5-14R(S),2240
245/70R19.5-16PR(D),1984
245/70R19.5-16PR(D),1985
245/70R19.5-16PR(D),2025
245/70R19.5-16PR(D),2058
245/70R19.5-16PR(D),2060
245/70R19.5-16PR(D),2120
